"SKU","ASIN","Product Title","Status","Last Changed","Current Price","Buy Box Price","Available Inventory","Total Fees"
"Y6-G8SD-SWLB","B0H2MS6B8Y","Pramora Living Horse Statue (Resin, 20.5 cm x 30.4 cm) Figurines Animal Statue Wooden Base for Home Décor Table Decoration Items - Showpiece Gift Decorative Home","Active","22 May 2026","850.00","850.00 + 0.00","2 (FBM)","53.1"
"XE-P0U1-T2S0","B0H2MQ916N","Pramora Living Resin Cute Deer Showpiece - Artifacts for Home Decor Living Room,Decorative Items for Tv Unit,Center Table(Black-7'')","Active","22 May 2026","750.00","750.00 + 0.00","2 (FBM)","53.1"
"7X-H6NO-7T6W","B0H2MMV61N","Pramora Living Golden Cat Family Sculpture Showpiece | Animal Figurines Decorative Item for Home Decor Living Room Bedroom Table Top Decoration, Cat Statue (Golden Cat Family)","Active","22 May 2026","699.00","699.00 + 0.00","2 (FBM)","53.1"
"4T-3I81-V8IM","B0H2ML547M","Pramora Living Dhol Vinayak Idol for Home & Office Decor | Decorative Showpiece for Living Room | Traditional Lord Ganesha Statue with Dhol","Active","22 May 2026","500.00","500.00 + 0.00","2 (FBM)","25.96"
"ZU-WZ9W-U8QU","B0H2LZ7QTQ","Pramora Living Modern Classy Lucky Owl Resin Art Figure Showpiece (Blue), 1 Piece","Active","22 May 2026","550.00","550.00 + 0.00","2 (FBM)","53.1"
"QT-9DW5-JAW8","B0GZF36JM2","Pramora Living, Elephant Decor, Thai Style Figurines Mother & Child Elephant Fengshui Resin Sculptures for Home Decor Ornament - (Set of 2, Brown)","Active","3 May 2026","999.00","999.00 + 0.00","2 (FBM)","53.1"
"JS-I6XR-LLNH","B0GZF3MB97","Pramora Living Elephant Decor, Set of 3 Realistic Elephant Sitter Hand-Painted Figurines, Mother and Two Babies Hanging Off The Edge of A Shelf Or Table Decorative Items.Showpiece for Living Room.","Active","3 May 2026","715.00","715.00 + 0.00","2 (FBM)","53.1"
"KN-7DB3-1SMU","B0GZDWPVDX","Pramora Living Resin Lady Ring Face Statue, for Home Décor Showpiece | Fantasy Modern Art Lady Face Showpiece for Home Décor Item (Green),9 x 13 Inches","Active","3 May 2026","1,375.00","1,375.00 + 0.00","2 (FBM)","365.51"
"L3-WAET-EZJ5","B0GZ7KRHPT","Pramora Living Beautiful Owl Showpiece for Home & Office Decor | Owl Statue, Decorative Showpiece for Home & Office | Gift Item for Housewarming (3 Owl on Long Bark)","Active","1 May 2026","750.00","750.00 + 0.00","2 (FBM)","53.1"
